date,ssn,cycle,phase,is_split_point
1874-06-01,63.8,11,decline,0
1874-07-01,113.2,11,decline,0
1874-08-01,102.3,11,decline,0
1874-09-01,46.8,11,decline,0
1874-10-01,57.4,11,decline,0
1874-11-01,48.2,11,decline,0
1874-12-01,48.8,11,decline,0
1875-01-01,24.4,11,decline,0
1875-02-01,35.9,11,decline,0
1875-03-01,56.4,11,decline,0
1875-04-01,48.6,11,decline,0
1875-05-01,19.2,11,trough,0
1875-06-01,39.9,11,decline,0
1875-07-01,20.9,11,decline,0
1875-08-01,24.4,11,decline,0
1875-09-01,4.0,11,trough,0
1875-10-01,21.3,11,decline,0
1875-11-01,29.6,11,decline,0
1875-12-01,16.5,11,trough,0
1876-01-01,23.9,11,decline,0
1876-02-01,25.1,11,decline,0
1876-03-01,51.1,11,decline,0
1876-04-01,3.9,11,trough,0
1876-05-01,8.5,11,trough,0
1876-06-01,2.7,11,trough,0
1876-07-01,25.5,11,decline,0
1876-08-01,14.8,11,trough,0
1876-09-01,16.6,11,trough,0
1876-10-01,23.9,11,decline,0
1876-11-01,16.6,11,trough,0
1876-12-01,13.6,11,trough,0
1877-01-01,40.6,11,decline,0
1877-02-01,14.5,11,trough,0
1877-03-01,19.9,11,trough,0
1877-04-01,26.3,11,decline,0
1877-05-01,36.1,11,decline,0
1877-06-01,23.6,11,decline,0
1877-07-01,10.0,11,trough,0
1877-08-01,10.5,11,trough,0
1877-09-01,28.1,11,decline,0
1877-10-01,11.2,11,trough,0
1877-11-01,23.6,11,decline,0
1877-12-01,3.5,11,trough,0
1878-01-01,5.5,11,trough,0
1878-02-01,11.0,11,trough,0
1878-03-01,13.1,11,trough,0
1878-04-01,0.2,11,trough,0
1878-05-01,9.9,11,trough,0
1878-06-01,10.7,11,trough,0
1878-07-01,0.2,11,trough,0
1878-08-01,0.0,12,trough,1
1878-09-01,8.8,12,trough,0
1878-10-01,1.9,12,trough,0
1878-11-01,6.8,12,trough,0
1878-12-01,0.9,12,trough,0
1879-01-01,1.6,12,trough,0
1879-02-01,0.9,12,trough,0
1879-03-01,0.0,12,trough,0
1879-04-01,10.4,12,trough,0
1879-05-01,4.0,12,trough,0
1879-06-01,8.0,12,trough,0
1879-07-01,12.6,12,trough,0
1879-08-01,17.9,12,rise,0
1879-09-01,10.1,12,trough,0
1879-10-01,20.4,12,rise,0
1879-11-01,21.9,12,rise,0
1879-12-01,12.2,12,trough,0
1880-01-01,40.1,12,rise,0
1880-02-01,45.4,12,rise,0
1880-03-01,32.1,12,rise,0
1880-04-01,32.4,12,rise,0
1880-05-01,39.1,12,rise,0
1880-06-01,56.9,12,rise,0
1880-07-01,36.5,12,rise,0
1880-08-01,80.3,12,rise,0
1880-09-01,110.1,12,rise,0
1880-10-01,71.7,12,rise,0
1880-11-01,51.1,12,rise,0
1880-12-01,49.4,12,rise,0
1881-01-01,60.6,12,rise,0
1881-02-01,88.6,12,rise,0
1881-03-01,85.8,12,rise,0
1881-04-01,86.1,12,rise,0
1881-05-01,72.5,12,rise,0
1881-06-01,100.8,12,rise,0
1881-07-01,128.2,12,peak,0
1881-08-01,97.3,12,rise,0
1881-09-01,88.6,12,rise,0
1881-10-01,107.3,12,rise,0
1881-11-01,91.5,12,rise,0
1881-12-01,78.8,12,rise,0
1882-01-01,75.0,12,rise,0
1882-02-01,115.9,12,rise,0
1882-03-01,111.5,12,rise,0
1882-04-01,159.6,12,peak,0
1882-05-01,106.9,12,peak,0
1882-06-01,75.4,12,peak,0
1882-07-01,75.7,12,peak,0
1882-08-01,67.5,12,peak,0
1882-09-01,96.1,12,peak,0
1882-10-01,98.6,12,peak,0
1882-11-01,140.6,12,peak,0
1882-12-01,69.7,12,peak,0
1883-01-01,101.0,12,peak,0
1883-02-01,78.2,12,peak,0
1883-03-01,71.3,12,peak,0
1883-04-01,136.8,12,peak,0
1883-05-01,52.5,12,peak,0
1883-06-01,127.2,12,peak,0
1883-07-01,134.4,12,peak,0
1883-08-01,76.6,12,peak,0
1883-09-01,87.8,12,peak,0
1883-10-01,139.6,12,peak,0
1883-11-01,140.8,12,peak,0
1883-12-01,126.5,12,peak,0
1884-01-01,152.6,12,peak,0
1884-02-01,144.8,12,peak,0
1884-03-01,145.8,12,peak,0
1884-04-01,126.9,12,peak,0
1884-05-01,110.9,12,decline,0
1884-06-01,85.3,12,decline,0
1884-07-01,88.5,12,decline,0
1884-08-01,93.1,12,decline,0
1884-09-01,103.1,12,decline,0
1884-10-01,79.6,12,decline,0
1884-11-01,60.9,12,decline,0
1884-12-01,78.6,12,decline,0
1885-01-01,71.4,12,decline,0
1885-02-01,119.7,12,peak,0
1885-03-01,82.9,12,decline,0
1885-04-01,91.7,12,decline,0
1885-05-01,121.6,12,peak,0
1885-06-01,139.5,12,peak,0
1885-07-01,110.9,12,decline,0
1885-08-01,83.5,12,decline,0
1885-09-01,66.0,12,decline,0
1885-10-01,64.5,12,decline,0
1885-11-01,51.6,12,decline,0
1885-12-01,36.3,12,decline,0
1886-01-01,49.8,12,decline,0
1886-02-01,43.2,12,decline,0
1886-03-01,95.5,12,decline,0
1886-04-01,72.9,12,decline,0
1886-05-01,51.2,12,decline,0
1886-06-01,45.3,12,decline,0
1886-07-01,50.4,12,decline,0
1886-08-01,28.1,12,decline,0
1886-09-01,35.7,12,decline,0
1886-10-01,14.4,12,trough,0
1886-11-01,0.6,12,trough,0
1886-12-01,21.7,12,decline,0
1887-01-01,17.0,12,decline,0
1887-02-01,22.0,12,decline,0
1887-03-01,7.1,12,trough,0
1887-04-01,11.6,12,trough,0
1887-05-01,33.4,12,decline,0
1887-06-01,26.1,12,decline,0
1887-07-01,38.9,12,decline,0
1887-08-01,35.7,12,decline,0
1887-09-01,12.4,12,trough,0
1887-10-01,11.0,12,trough,0
1887-11-01,11.5,12,trough,0
1887-12-01,34.5,12,decline,0
1888-01-01,21.2,12,decline,0
1888-02-01,11.8,12,trough,0
1888-03-01,13.1,12,trough,0
1888-04-01,8.5,12,trough,0
1888-05-01,11.7,12,trough,0
1888-06-01,11.8,12,trough,0
1888-07-01,5.0,12,trough,0
1888-08-01,4.6,12,trough,0
1888-09-01,14.6,12,trough,0
1888-10-01,3.4,12,trough,0
1888-11-01,17.9,12,decline,0
1888-12-01,11.1,12,trough,0
1889-01-01,1.3,13,trough,1
1889-02-01,14.2,13,trough,0
1889-03-01,11.1,13,trough,0
1889-04-01,7.3,13,trough,0
1889-05-01,4.0,13,trough,0
1889-06-01,10.8,13,trough,0
1889-07-01,15.8,13,trough,0
1889-08-01,34.3,13,rise,0
1889-09-01,10.9,13,trough,0
1889-10-01,3.4,13,trough,0
1889-11-01,0.3,13,trough,0
1889-12-01,11.2,13,trough,0
1890-01-01,8.8,13,trough,0
1890-02-01,1.1,13,trough,0
1890-03-01,8.5,13,trough,0
1890-04-01,2.7,13,trough,0
1890-05-01,7.9,13,trough,0
1890-06-01,2.2,13,trough,0
1890-07-01,19.3,13,rise,0
1890-08-01,14.2,13,trough,0
1890-09-01,28.6,13,rise,0
1890-10-01,18.6,13,rise,0
1890-11-01,15.9,13,trough,0
1890-12-01,13.1,13,trough,0
1891-01-01,22.5,13,rise,0
1891-02-01,36.9,13,rise,0
1891-03-01,17.2,13,rise,0
1891-04-01,34.2,13,rise,0
1891-05-01,68.5,13,rise,0
1891-06-01,80.4,13,rise,0
1891-07-01,98.0,13,rise,0
1891-08-01,55.1,13,rise,0
1891-09-01,89.7,13,rise,0
1891-10-01,86.0,13,rise,0
1891-11-01,69.8,13,rise,0
1891-12-01,54.3,13,rise,0
1892-01-01,115.2,13,peak,0
1892-02-01,126.1,13,peak,0
1892-03-01,83.3,13,rise,0
1892-04-01,116.0,13,peak,0
1892-05-01,132.7,13,peak,0
1892-06-01,127.3,13,peak,0
1892-07-01,127.6,13,peak,0
1892-08-01,169.0,13,peak,0
1892-09-01,104.7,13,rise,0
1892-10-01,117.5,13,peak,0
1892-11-01,108.9,13,rise,0
1892-12-01,131.0,13,peak,0
1893-01-01,125.0,13,peak,0
1893-02-01,121.6,13,peak,0
1893-03-01,109.5,13,rise,0
1893-04-01,146.8,13,peak,0
1893-05-01,141.3,13,peak,0
1893-06-01,149.8,13,peak,0
1893-07-01,147.6,13,peak,0
1893-08-01,215.4,13,peak,0
1893-09-01,129.9,13,peak,0
1893-10-01,133.3,13,peak,0
1893-11-01,125.2,13,peak,0
1893-12-01,156.4,13,peak,0
1894-01-01,138.6,13,peak,0
1894-02-01,141.0,13,peak,0
1894-03-01,87.1,13,decline,0
1894-04-01,136.0,13,peak,0
1894-05-01,168.7,13,peak,0
1894-06-01,164.8,13,peak,0
1894-07-01,176.7,13,peak,0
1894-08-01,117.1,13,peak,0
1894-09-01,110.0,13,peak,0
1894-10-01,125.7,13,peak,0
1894-11-01,94.3,13,decline,0
1894-12-01,100.1,13,decline,0
1895-01-01,105.4,13,decline,0
1895-02-01,112.0,13,peak,0
1895-03-01,101.6,13,decline,0
1895-04-01,128.2,13,peak,0
1895-05-01,112.5,13,peak,0
1895-06-01,119.1,13,peak,0
1895-07-01,79.7,13,decline,0
1895-08-01,114.9,13,peak,0
1895-09-01,96.1,13,decline,0
1895-10-01,113.2,13,peak,0
1895-11-01,78.6,13,decline,0
1895-12-01,117.9,13,peak,0
1896-01-01,48.4,13,decline,0
1896-02-01,95.7,13,decline,0
1896-03-01,86.5,13,decline,0
1896-04-01,73.0,13,decline,0
1896-05-01,46.1,13,decline,0
1896-06-01,81.7,13,decline,0
1896-07-01,75.2,13,decline,0
1896-08-01,45.4,13,decline,0
1896-09-01,102.2,13,decline,0
1896-10-01,47.9,13,decline,0
1896-11-01,63.3,13,decline,0
1896-12-01,71.0,13,decline,0
1897-01-01,67.6,13,decline,0
1897-02-01,49.0,13,decline,0
1897-03-01,48.7,13,decline,0
1897-04-01,51.7,13,decline,0
1897-05-01,33.3,13,decline,0
1897-06-01,18.9,13,decline,0
1897-07-01,46.1,13,decline,0
1897-08-01,36.4,13,decline,0
1897-09-01,80.4,13,decline,0
1897-10-01,23.9,13,decline,0
1897-11-01,14.0,13,trough,0
1897-12-01,55.5,13,decline,0
1898-01-01,50.4,13,decline,0
1898-02-01,60.7,13,decline,0
1898-03-01,63.9,13,decline,0
1898-04-01,24.2,13,decline,0
1898-05-01,43.0,13,decline,0
1898-06-01,37.1,13,decline,0
1898-07-01,15.0,13,trough,0
1898-08-01,52.3,13,decline,0
1898-09-01,58.1,13,decline,0
1898-10-01,57.1,13,decline,0
1898-11-01,51.6,13,decline,0
1898-12-01,21.1,13,decline,0
1899-01-01,32.4,13,decline,0
1899-02-01,15.3,13,trough,0
1899-03-01,30.3,13,decline,0
1899-04-01,23.6,13,decline,0
1899-05-01,12.9,13,trough,0
1899-06-01,34.1,13,decline,0
1899-07-01,22.5,13,decline,0
1899-08-01,4.9,13,trough,0
1899-09-01,14.0,13,trough,0
1899-10-01,21.7,13,decline,0
1899-11-01,13.0,13,trough,0
1899-12-01,17.6,13,decline,0
1900-01-01,15.7,13,trough,0
1900-02-01,22.8,13,decline,0
1900-03-01,14.4,13,trough,0
1900-04-01,26.8,13,decline,0
1900-05-01,25.3,13,decline,0
1900-06-01,20.1,13,decline,0
1900-07-01,13.9,13,trough,0
1900-08-01,7.1,13,trough,0
1900-09-01,13.9,13,trough,0
1900-10-01,21.6,13,decline,0
1900-11-01,7.5,13,trough,0
1900-12-01,0.5,13,trough,0
1901-01-01,0.4,13,trough,0
1901-02-01,4.0,13,trough,0
1901-03-01,7.4,13,trough,0
1901-04-01,0.0,13,trough,0
1901-05-01,17.0,13,decline,0
1901-06-01,9.7,13,trough,0
1901-07-01,1.2,13,trough,0
1901-08-01,1.7,13,trough,0
1901-09-01,0.9,13,trough,0
1901-10-01,6.3,13,trough,0
1901-11-01,6.4,13,trough,0
1901-12-01,0.0,14,trough,1
1902-01-01,9.3,14,trough,0
1902-02-01,0.0,14,trough,0
1902-03-01,20.7,14,rise,0
1902-04-01,0.0,14,trough,0
1902-05-01,4.7,14,trough,0
1902-06-01,2.4,14,trough,0
1902-07-01,1.5,14,trough,0
1902-08-01,3.8,14,trough,0
1902-09-01,12.6,14,rise,0
1902-10-01,27.2,14,rise,0
1902-11-01,17.2,14,rise,0
1902-12-01,1.8,14,trough,0
1903-01-01,13.9,14,rise,0
1903-02-01,28.4,14,rise,0
1903-03-01,22.5,14,rise,0
1903-04-01,43.5,14,rise,0
1903-05-01,24.3,14,rise,0
1903-06-01,27.2,14,rise,0
1903-07-01,46.4,14,rise,0
1903-08-01,48.0,14,rise,0
1903-09-01,18.5,14,rise,0
1903-10-01,64.8,14,rise,0
1903-11-01,74.2,14,rise,0
1903-12-01,76.2,14,rise,0
1904-01-01,52.6,14,rise,0
1904-02-01,40.8,14,rise,0
1904-03-01,61.9,14,rise,0
1904-04-01,71.6,14,rise,0
1904-05-01,65.7,14,rise,0
1904-06-01,69.8,14,rise,0
1904-07-01,84.3,14,rise,0
1904-08-01,97.1,14,peak,0
1904-09-01,50.2,14,rise,0
1904-10-01,90.4,14,peak,0
1904-11-01,63.4,14,rise,0
1904-12-01,91.1,14,peak,0
1905-01-01,91.2,14,peak,0
1905-02-01,143.0,14,peak,0
1905-03-01,94.3,14,peak,0
1905-04-01,65.5,14,rise,0
1905-05-01,79.9,14,rise,0
1905-06-01,81.6,14,rise,0
1905-07-01,121.6,14,peak,0
1905-08-01,98.1,14,peak,0
1905-09-01,91.8,14,peak,0
1905-10-01,131.2,14,peak,0
1905-11-01,178.7,14,peak,0
1905-12-01,92.5,14,peak,0
1906-01-01,75.8,14,decline,0
1906-02-01,52.3,14,decline,0
1906-03-01,107.4,14,peak,0
1906-04-01,92.2,14,peak,0
1906-05-01,96.2,14,peak,0
1906-06-01,105.3,14,peak,0
1906-07-01,172.7,14,peak,0
1906-08-01,79.6,14,decline,0
1906-09-01,93.5,14,peak,0
1906-10-01,29.7,14,decline,0
1906-11-01,64.8,14,decline,0
1906-12-01,108.0,14,peak,0
1907-01-01,127.4,14,peak,0
1907-02-01,180.3,14,peak,0
1907-03-01,101.1,14,peak,0
1907-04-01,87.6,14,peak,0
1907-05-01,71.4,14,decline,0
1907-06-01,67.2,14,decline,0
1907-07-01,82.9,14,decline,0
1907-08-01,90.5,14,peak,0
1907-09-01,141.7,14,peak,0
1907-10-01,109.1,14,peak,0
1907-11-01,102.5,14,peak,0
1907-12-01,78.9,14,decline,0
1908-01-01,65.4,14,decline,0
1908-02-01,56.6,14,decline,0
1908-03-01,47.9,14,decline,0
1908-04-01,96.1,14,peak,0
1908-05-01,68.0,14,decline,0
1908-06-01,80.2,14,decline,0
1908-07-01,65.8,14,decline,0
1908-08-01,150.9,14,peak,0
1908-09-01,144.9,14,peak,0
1908-10-01,53.9,14,decline,0
1908-11-01,75.9,14,decline,0
1908-12-01,65.9,14,decline,0
1909-01-01,94.6,14,peak,0
1909-02-01,77.6,14,decline,0
1909-03-01,110.5,14,peak,0
1909-04-01,53.7,14,decline,0
1909-05-01,60.0,14,decline,0
1909-06-01,37.8,14,decline,0
1909-07-01,59.6,14,decline,0
1909-08-01,38.5,14,decline,0
1909-09-01,64.7,14,decline,0
1909-10-01,97.4,14,peak,0
1909-11-01,93.0,14,peak,0
1909-12-01,90.2,14,peak,0
1910-01-01,44.0,14,decline,0
1910-02-01,52.5,14,decline,0
1910-03-01,35.7,14,decline,0
1910-04-01,14.1,14,decline,0
1910-05-01,36.9,14,decline,0
1910-06-01,20.5,14,decline,0
1910-07-01,23.5,14,decline,0
1910-08-01,19.3,14,decline,0
1910-09-01,43.7,14,decline,0
1910-10-01,63.9,14,decline,0
1910-11-01,8.3,14,trough,0
1910-12-01,9.6,14,trough,0
1911-01-01,5.6,14,trough,0
1911-02-01,15.0,14,decline,0
1911-03-01,13.0,14,decline,0
1911-04-01,27.6,14,decline,0
1911-05-01,15.1,14,decline,0
1911-06-01,3.7,14,trough,0
1911-07-01,5.9,14,trough,0
1911-08-01,6.7,14,trough,0
1911-09-01,6.7,14,trough,0
1911-10-01,4.5,14,trough,0
1911-11-01,7.0,14,trough,0
1911-12-01,3.7,14,trough,0
1912-01-01,0.4,14,trough,0
1912-02-01,0.0,14,trough,0
1912-03-01,8.2,14,trough,0
1912-04-01,7.6,14,trough,0
1912-05-01,7.4,14,trough,0
1912-06-01,6.9,14,trough,0
1912-07-01,4.9,14,trough,0
1912-08-01,0.5,14,trough,0
1912-09-01,15.9,14,decline,0
1912-10-01,7.6,14,trough,0
1912-11-01,1.9,14,trough,0
1912-12-01,10.6,14,trough,0
1913-01-01,3.8,14,trough,0
1913-02-01,4.8,14,trough,0
1913-03-01,0.8,14,trough,0
1913-04-01,1.6,14,trough,0
1913-05-01,0.0,15,trough,1
1913-06-01,0.0,15,trough,0
1913-07-01,2.9,15,trough,0
1913-08-01,0.4,15,trough,0
1913-09-01,2.0,15,trough,0
1913-10-01,5.2,15,trough,0
1913-11-01,1.2,15,trough,0
1913-12-01,6.3,15,trough,0
1914-01-01,4.7,15,trough,0
1914-02-01,4.4,15,trough,0
1914-03-01,5.3,15,trough,0
1914-04-01,28.9,15,rise,0
1914-05-01,8.7,15,trough,0
1914-06-01,19.1,15,trough,0
1914-07-01,9.1,15,trough,0
1914-08-01,12.9,15,trough,0
1914-09-01,21.2,15,trough,0
1914-10-01,13.7,15,trough,0
1914-11-01,27.3,15,rise,0
1914-12-01,37.3,15,rise,0
1915-01-01,38.5,15,rise,0
1915-02-01,70.4,15,rise,0
1915-03-01,64.8,15,rise,0
1915-04-01,68.9,15,rise,0
1915-05-01,55.1,15,rise,0
1915-06-01,114.7,15,rise,0
1915-07-01,119.4,15,peak,0
1915-08-01,116.0,15,peak,0
1915-09-01,82.4,15,rise,0
1915-10-01,89.1,15,rise,0
1915-11-01,70.9,15,rise,0
1915-12-01,57.5,15,rise,0
1916-01-01,75.5,15,rise,0
1916-02-01,92.4,15,rise,0
1916-03-01,111.7,15,rise,0
1916-04-01,119.8,15,peak,0
1916-05-01,124.0,15,peak,0
1916-06-01,112.9,15,rise,0
1916-07-01,89.3,15,rise,0
1916-08-01,58.6,15,rise,0
1916-09-01,75.1,15,rise,0
1916-10-01,84.5,15,rise,0
1916-11-01,109.5,15,rise,0
1916-12-01,88.3,15,rise,0
1917-01-01,124.5,15,peak,0
1917-02-01,119.9,15,peak,0
1917-03-01,158.0,15,peak,0
1917-04-01,124.6,15,peak,0
1917-05-01,190.2,15,peak,0
1917-06-01,191.4,15,peak,0
1917-07-01,199.7,15,peak,0
1917-08-01,257.7,15,peak,0
1917-09-01,215.6,15,peak,0
1917-10-01,120.3,15,peak,0
1917-11-01,160.7,15,peak,0
1917-12-01,215.5,15,peak,0
1918-01-01,160.0,15,peak,0
1918-02-01,108.7,15,decline,0
1918-03-01,120.4,15,peak,0
1918-04-01,134.1,15,peak,0
1918-05-01,127.9,15,peak,0
1918-06-01,99.0,15,decline,0
1918-07-01,179.5,15,peak,0
1918-08-01,169.6,15,peak,0
1918-09-01,133.2,15,peak,0
1918-10-01,141.7,15,peak,0
1918-11-01,139.0,15,peak,0
1918-12-01,98.5,15,decline,0
1919-01-01,80.2,15,decline,0
1919-02-01,132.5,15,peak,0
1919-03-01,110.9,15,decline,0
1919-04-01,86.3,15,decline,0
1919-05-01,146.9,15,peak,0
1919-06-01,185.3,15,peak,0
1919-07-01,107.8,15,decline,0
1919-08-01,115.1,15,decline,0
1919-09-01,91.1,15,decline,0
1919-10-01,88.0,15,decline,0
1919-11-01,69.9,15,decline,0
1919-12-01,58.0,15,decline,0
1920-01-01,85.3,15,decline,0
1920-02-01,89.8,15,decline,0
1920-03-01,116.9,15,peak,0
1920-04-01,24.7,15,decline,0
1920-05-01,55.4,15,decline,0
1920-06-01,64.6,15,decline,0
1920-07-01,45.7,15,decline,0
1920-08-01,31.9,15,decline,0
1920-09-01,60.5,15,decline,0
1920-10-01,82.7,15,decline,0
1920-11-01,45.3,15,decline,0
1920-12-01,49.8,15,decline,0
1921-01-01,52.5,15,decline,0
1921-02-01,47.1,15,decline,0
1921-03-01,44.5,15,decline,0
1921-04-01,54.0,15,decline,0
1921-05-01,37.0,15,decline,0
1921-06-01,56.2,15,decline,0
1921-07-01,69.7,15,decline,0
1921-08-01,38.0,15,decline,0
1921-09-01,29.6,15,decline,0
1921-10-01,30.3,15,decline,0
1921-11-01,29.6,15,decline,0
1921-12-01,33.9,15,decline,0
1922-01-01,19.7,15,trough,0
1922-02-01,43.9,15,decline,0
1922-03-01,91.3,15,decline,0
1922-04-01,18.3,15,trough,0
1922-05-01,13.4,15,trough,0
1922-06-01,9.8,15,trough,0
1922-07-01,18.3,15,trough,0
1922-08-01,10.9,15,trough,0
1922-09-01,7.8,15,trough,0
1922-10-01,10.4,15,trough,0
1922-11-01,12.2,15,trough,0
1922-12-01,29.0,15,decline,0
1923-01-01,7.5,15,trough,0
1923-02-01,2.5,15,trough,0
1923-03-01,5.5,15,trough,0
1923-04-01,10.2,15,trough,0
1923-05-01,5.3,15,trough,0
1923-06-01,15.3,15,trough,0
1923-07-01,5.9,15,trough,0
1923-08-01,0.8,16,trough,1
1923-09-01,22.1,16,rise,0
1923-10-01,19.5,16,trough,0
1923-11-01,16.7,16,trough,0
1923-12-01,4.6,16,trough,0
1924-01-01,0.8,16,trough,0
1924-02-01,8.5,16,trough,0
1924-03-01,3.0,16,trough,0
1924-04-01,18.9,16,trough,0
1924-05-01,34.6,16,rise,0
1924-06-01,40.0,16,rise,0
1924-07-01,46.9,16,rise,0
1924-08-01,32.1,16,rise,0
1924-09-01,41.9,16,rise,0
1924-10-01,42.6,16,rise,0
1924-11-01,37.5,16,rise,0
1924-12-01,27.5,16,rise,0
1925-01-01,9.1,16,trough,0
1925-02-01,38.6,16,rise,0
1925-03-01,30.0,16,rise,0
1925-04-01,53.0,16,rise,0
1925-05-01,71.4,16,rise,0
1925-06-01,79.1,16,rise,0
1925-07-01,64.2,16,rise,0
1925-08-01,63.3,16,rise,0
1925-09-01,100.3,16,rise,0
1925-10-01,115.3,16,rise,0
1925-11-01,97.6,16,rise,0
1925-12-01,164.4,16,peak,0
1926-01-01,119.7,16,peak,0
1926-02-01,116.4,16,peak,0
1926-03-01,104.2,16,peak,0
1926-04-01,64.2,16,peak,0
1926-05-01,107.0,16,peak,0
1926-06-01,122.4,16,peak,0
1926-07-01,87.2,16,peak,0
1926-08-01,102.7,16,peak,0
1926-09-01,101.4,16,peak,0
1926-10-01,119.3,16,peak,0
1926-11-01,100.8,16,peak,0
1926-12-01,132.4,16,peak,0
1927-01-01,136.0,16,peak,0
1927-02-01,155.1,16,peak,0
1927-03-01,116.1,16,peak,0
1927-04-01,155.8,16,peak,0
1927-05-01,131.9,16,peak,0
1927-06-01,98.5,16,peak,0
1927-07-01,91.6,16,peak,0
1927-08-01,89.6,16,peak,0
1927-09-01,114.1,16,peak,0
1927-10-01,105.2,16,peak,0
1927-11-01,112.1,16,peak,0
1927-12-01,75.3,16,peak,0
1928-01-01,139.2,16,peak,0
1928-02-01,122.4,16,peak,0
1928-03-01,142.4,16,peak,0
1928-04-01,134.3,16,peak,0
1928-05-01,128.3,16,peak,0
1928-06-01,152.4,16,peak,0
1928-07-01,163.4,16,peak,0
1928-08-01,139.6,16,peak,0
1928-09-01,149.6,16,peak,0
1928-10-01,102.3,16,decline,0
1928-11-01,83.9,16,decline,0
1928-12-01,98.3,16,decline,0
1929-01-01,114.8,16,decline,0
1929-02-01,104.7,16,decline,0
1929-03-01,83.8,16,decline,0
1929-04-01,87.9,16,decline,0
1929-05-01,97.0,16,decline,0
1929-06-01,119.9,16,peak,0
1929-07-01,117.1,16,decline,0
1929-08-01,109.6,16,decline,0
1929-09-01,57.3,16,decline,0
1929-10-01,90.1,16,decline,0
1929-11-01,135.1,16,peak,0
1929-12-01,179.9,16,peak,0
1930-01-01,108.8,16,decline,0
1930-02-01,83.1,16,decline,0
1930-03-01,58.4,16,decline,0
1930-04-01,63.7,16,decline,0
1930-05-01,61.4,16,decline,0
1930-06-01,48.0,16,decline,0
1930-07-01,36.5,16,decline,0
1930-08-01,41.5,16,decline,0
1930-09-01,53.5,16,decline,0
1930-10-01,57.2,16,decline,0
1930-11-01,59.4,16,decline,0
1930-12-01,43.0,16,decline,0
1931-01-01,24.4,16,decline,0
1931-02-01,71.8,16,decline,0
1931-03-01,50.1,16,decline,0
1931-04-01,52.0,16,decline,0
1931-05-01,40.8,16,decline,0
1931-06-01,25.5,16,decline,0
1931-07-01,29.0,16,decline,0
